AAB	ABELAG AVIATION	ABELAG
AAC	ARMY AIR CORPS	ARMYAIR
AAD	ARRENDAMIENTOS AEROS	PANABEAR
AAE	AIR ATLANTA EUROPE	EUROVIKING
AAF	AIGLE AZUR	AIGLE AZUR
AAG	ARMENIAN AIRLINES LLC	APRICOT
AAH	AEKO KULA, INC. D/B/A ALOHA AIR CARGO (HONOLULU,HI)	ALOHA
AAI	AIR AURORA, INC. (SUGAR GROVE, IL)	BOREALIS
AAJ	ALFA AIRLINES CO., LTD	ALFA SUDAN
AAK	ALASKA ISLAND AIR, INC. (ANCHORAGE, AK)	ALASKA ISLAND
AAL	AMERICAN AIRLINES INC.	AMERICAN
AAM	AIM AIR	AIM AIR
AAN	CTR ATMOSPHERICA AVIATION A.S.	ATMOJET
AAO	ALPHA AVIATION S.R.O.	HERO
AAP	ARABASCO AIR SERVICES	ARABASCO
AAQ	ASIA ATLANTIC AIRLINES CO., LTD	ASIA ATLANTIC
AAR	ASIANA AIRLINES	ASIANA
AAS	ASKARI AVIATION (PVT) LTD	AL-AAS
AAT	CONGO FALCON	AFRICA AIRLINES
AAV	ASTRO AIR INTERNATIONAL, INC. DBA OF PAN PACIFIC AIRLINES	ASTRO-PHIL
AAW	AFRICAN AIRLINES CORPORATION	AFRIQIYAH
AAX	ADVANCE AVIATION CO., LTD	ADVANCE AVIATION
AAY	ALLEGIANT AIR, INC. (FRESNO, CA)	ALLEGIANT
AAZ	AEOLUS AIR LIMITED	AEOLUS
ABA	AERO-BETA GMBH & CO., STUTTGART	AEROBETA
ABB	AIR BELGIUM SA	AIR BELGIUM
ABD	AIR ATLANTA ICELANDIC	ATLANTA
ABE	ABAN AIR	ABAN
ABF	SCANWINGS OY, FINLAND	SKYWINGS
ABG	ROYAL FLIGHT AIRLINES, CJSC	ROYAL FLIGHT
ABI	ALBA-AIR AVIACION, S.L.	AIRALBACETE
ABJ	ATA-AEROTAXI ABAETE LTDA	ABAETE
ABK	AIRBUS CANADA	AIRBUS CANUCK
ABL	AIR BUSAN	AIR BUSAN
ABM	AERO ALBATROS	ALBATROS ESPANA
ABN	AIR ALBANIA	AIR ALBANIA
ABO	AEROEXPRESO BOGOTA	AEROEXPRESO
ABP	ABS JETS	BAIR
ABQ	AIRBLUE LIMITED, M/S.	PAKBLUE
ABR	ASL AIRLINES (IRELAND) LIMITED	CONTRACT
ABT	BENIN AIRLINES	BENWAYS
ABV	ASL AIRLINES UK	CARGOBLUE
ABW	AIRBRIDGE CARGO AIRLINES LTD	AIRBRIDGE CARGO
ABX	ABX AIR, INC. (WILMINGTON, OH)	ABEX
ABY	AIR ARABIA	ARABIA
ABZ	AIR AMBULANCE SERVICES LIMITED	ISLAND LIFEFLIGHT
ACA	AIR CANADA	AIR CANADA
ACB	AIR CONTINENTAL AFRICA	AIRCONTI
ACD	ACADEMY AIRLINES (GRIFFIN, GA)	ACADEMY
ACE	AVIATION ACES	SKY ACE
ACF	CENTRO DE FORMACION AERONAUTICA DE CANARIAS	FORCAN
ACH	AIR CHILD	AIRCHILD
